matchid;journee;stade;spectateurs;date;home_team;away_team;home_goal;away_goal;home_possession;away_possession;home_duels_gagnes;away_duel_gagnes;home_duel_aeriens_gagnes;away_duel_aeriens_gagnes;home_interceptions;away_interceptions;home_hors_jeux;away_hors_eux;home_corners_won;away_corners_won;home_passes;away_passes;home_centres;away_centres;home_tirs;away_tirs;home_tirs_cadres;away_tirs_cadres;home_carton_jaune;away_carton_jaune;home_carton_rouge;away_carton_rouge;home_formation;away_formation;date_str;home_win;total_tirs;diff_possession
70807;Journée 5;ROAZHON PARK;27392.0;;STADE RENNAIS FC;STADE BRESTOIS 29;3;1;64.9;35.1;46,2;53,8;53,6;46,4;7.0;13.0;3.0;2.0;7.0;3.0;637.0;339.0;17.0;15.0;16;7;9;2;2.0;0.0;0.0;0.0;2-2-1-2-2-1;3-2-2-2-1;31 AOÛT 2022- 21:00;1;23;29.800000000000004
70808;Journée 5;STADE DE LA MEINAU;25162.0;;RC STRASBOURG ALSACE;FC NANTES;1;1;45.9;54.1;52,6;47,4;43,8;56,3;8.0;13.0;0.0;2.0;3.0;6.0;440.0;517.0;16.0;22.0;5;12;2;3;0.0;3.0;0.0;0.0;3-5-2;3-2-2-2-1;31 AOÛT 2022- 19:00;0;17;-8.200000000000003
70809;Journée 5;STADIUM;31739.0;;TOULOUSE FC;PARIS SAINT-GERMAIN;0;3;37.7;62.3;55,4;44,6;16,7;83,3;12.0;12.0;1.0;1.0;3.0;9.0;364.0;606.0;10.0;11.0;14;20;7;13;1.0;0.0;0.0;0.0;3-2-2-2-1;2-2-2-3-1;31 AOÛT 2022- 21:00;0;34;-24.599999999999994
70810;Journée 6;STADE FRANÇOIS-COTY;6857.0;;AC AJACCIO;FC LORIENT;0;1;58.2;41.8;42,9;57,1;42,9;57,1;14.0;14.0;4.0;2.0;3.0;3.0;445.0;336.0;33.0;9.0;16;7;3;4;4.0;1.0;0.0;0.0;2-2-2-2-2;2-2-1-2-2-1;4 SEPTEMBRE 2022- 15:00;0;23;16.400000000000006
70811;Journée 6;STADE DE L'ABBÉ-DESCHAMPS;17035.0;;AJ AUXERRE;OLYMPIQUE DE MARSEILLE;0;2;47.2;52.8;54,1;45,9;60;40;21.0;16.0;1.0;2.0;4.0;1.0;438.0;498.0;15.0;9.0;8;15;2;7;1.0;1.0;0.0;0.0;2-2-1-4-1;2-2-2-3-1;3 SEPTEMBRE 2022- 17:00;0;23;-5.599999999999994
70812;Journée 6;STADE FRANCIS-LE BLÉ;10240.0;;STADE BRESTOIS 29;RC STRASBOURG ALSACE;1;1;59.4;40.6;43,7;56,3;52,9;47,1;15.0;11.0;2.0;1.0;7.0;3.0;485.0;340.0;35.0;13.0;11;10;2;3;3.0;1.0;0.0;1.0;2-2-2-3-1;5-3-2;4 SEPTEMBRE 2022- 15:00;0;21;18.799999999999997
70813;Journée 6;STADE GABRIEL-MONTPIED;10875.0;;CLERMONT FOOT 63;TOULOUSE FC;2;0;33.4;66.6;46,6;53,4;25;75;15.0;6.0;1.0;2.0;4.0;6.0;250.0;509.0;21.0;30.0;12;14;3;4;4.0;1.0;0.0;0.0;3-2-2-2-1;3-2-2-2-1;4 SEPTEMBRE 2022- 15:00;1;26;-33.199999999999996
70814;Journée 6;GROUPAMA STADIUM;39586.0;;OLYMPIQUE LYONNAIS;ANGERS SCO;5;0;64.1;35.9;44,3;55,7;43,5;56,5;13.0;17.0;6.0;0.0;13.0;3.0;516.0;295.0;25.0;8.0;16;8;9;3;2.0;1.0;0.0;0.0;2-2-1-2-2-1;4-1-3-2;3 SEPTEMBRE 2022- 19:00;1;24;28.199999999999996
70815;Journée 6;STADE DE LA MOSSON ET DU MONDIAL 98;12215.0;;MONTPELLIER HÉRAULT SC;LOSC LILLE;1;3;24.1;75.9;44,9;55,1;36,4;63,6;11.0;7.0;2.0;3.0;1.0;9.0;216.0;681.0;8.0;23.0;4;26;2;8;0.0;4.0;1.0;0.0;2-2-3-2-1;3-2-2-2-1;4 SEPTEMBRE 2022- 13:00;0;30;-51.800000000000004
70816;Journée 6;STADE DE LA BEAUJOIRE-LOUIS FONTENEAU;34406.0;;FC NANTES;PARIS SAINT-GERMAIN;0;3;40.5;59.5;55,9;44,1;50;50;16.0;12.0;1.0;1.0;1.0;7.0;464.0;692.0;9.0;10.0;10;19;1;7;1.0;4.0;1.0;0.0;3-2-2-2-1;2-2-2-3-1;3 SEPTEMBRE 2022- 21:00;0;29;-19.0
70817;Journée 6;ALLIANZ RIVIERA;24125.0;;OGC NICE;AS MONACO;0;1;52.5;47.5;46,3;53,7;39,1;60,9;15.0;15.0;2.0;2.0;3.0;6.0;522.0;465.0;16.0;16.0;12;14;5;2;2.0;1.0;0.0;0.0;3-2-2-2-1;2-2-2-3-1;4 SEPTEMBRE 2022- 20:45;0;26;5.0
70818;Journée 6;STADE AUGUSTE-DELAUNE;15761.0;;STADE DE REIMS;RC LENS;1;1;36.2;63.8;48,1;51,9;63,6;36,4;22.0;7.0;1.0;1.0;4.0;4.0;317.0;586.0;17.0;15.0;17;20;4;4;2.0;2.0;0.0;1.0;3-2-2-1-2;2-2-2-3-1;4 SEPTEMBRE 2022- 15:00;0;37;-27.599999999999994
